CVE_ID,type_info,delta_t,Published_date,Severity
CVE-2017-6770,twitter,10.0,2017-08-07T06:29Z,MEDIUM
CVE-2021-3242,github,395.0,2022-02-16T20:15Z,CRITICAL
CVE-2017-0590,twitter,10.0,2017-05-12T15:29Z,HIGH
CVE-2016-5392,redhat,23.0,2016-08-05T15:59Z,MEDIUM
CVE-2020-36315,github,282.0,2021-04-07T21:15Z,MEDIUM
CVE-2021-39944,twitter,6.0,2021-12-13T16:15Z,HIGH
CVE-2016-3079,redhat,21.0,2016-04-14T14:59Z,MEDIUM
CVE-2017-7536,redhat,196.0,2018-01-10T15:29Z,HIGH
CVE-2020-26154,github,75.0,2020-09-30T18:15Z,CRITICAL
CVE-2021-20209,twitter,111.0,2021-05-25T20:15Z,HIGH
CVE-2019-14896,redhat,6.0,2019-11-27T09:15Z,CRITICAL
CVE-2017-1234,twitter,12.0,2017-06-27T16:29Z,MEDIUM
CVE-2019-17599,github,30.0,2019-12-13T14:15Z,MEDIUM
CVE-2016-7952,twitter,67.0,2016-12-13T20:59Z,HIGH
CVE-2021-32651,github,3.0,2021-06-01T18:15Z,MEDIUM
CVE-2017-11533,github,6.0,2017-07-23T03:29Z,MEDIUM
CVE-2018-20659,github,2.0,2019-01-02T17:29Z,MEDIUM
CVE-2021-20693,twitter,7.0,2021-04-26T01:15Z,HIGH
CVE-2016-4580,github,13.0,2016-05-23T10:59Z,HIGH
CVE-2021-23521,github,18.0,2022-01-31T11:15Z,HIGH
CVE-2016-2140,twitter,35.0,2016-04-12T14:59Z,MEDIUM
CVE-2017-11242,twitter,2.0,2017-08-11T19:29Z,MEDIUM
CVE-2019-9821,twitter,63.0,2019-07-23T14:15Z,HIGH
CVE-2020-5401,twitter,2.0,2020-02-27T20:15Z,MEDIUM
CVE-2018-6151,twitter,167.0,2019-01-09T19:29Z,HIGH
CVE-2016-8898,github,975.0,2019-05-24T17:29Z,CRITICAL
CVE-2021-3489,twitter,24.0,2021-06-04T02:15Z,HIGH
CVE-2019-1568,twitter,3.0,2019-05-09T18:29Z,MEDIUM
CVE-2020-13330,twitter,1.0,2020-09-30T18:15Z,MEDIUM
CVE-2017-9365,github,16.0,2017-06-02T05:29Z,HIGH
CVE-2017-1000201,github,121.0,2017-11-17T02:29Z,MEDIUM
CVE-2021-46203,github,15.0,2022-01-19T18:15Z,MEDIUM
CVE-2021-27919,twitter,1.0,2021-03-11T00:15Z,MEDIUM
CVE-2016-1000007,twitter,95.0,2016-10-07T18:59Z,MEDIUM
CVE-2021-35981,twitter,38.0,2021-08-20T19:15Z,HIGH
CVE-2019-4163,twitter,1.0,2019-07-31T17:15Z,MEDIUM
CVE-2020-9468,github,2.0,2020-03-26T20:15Z,MEDIUM
CVE-2020-25466,github,46.0,2020-10-23T15:15Z,CRITICAL
CVE-2016-5003,twitter,470.0,2017-10-27T18:29Z,CRITICAL
CVE-2018-11685,github,1.0,2018-06-04T06:29Z,HIGH
CVE-2020-9276,twitter,53.0,2020-04-20T23:15Z,HIGH
CVE-2016-6619,twitter,363.0,2016-12-11T02:59Z,HIGH
CVE-2020-7350,github,49.0,2020-04-22T22:15Z,HIGH
CVE-2016-8229,twitter,1.0,2017-06-04T21:29Z,HIGH
CVE-2021-35306,github,56.0,2021-08-05T20:15Z,MEDIUM
